"Issue","Title","Status","Assessment","UpstreamState","Snapshot","Url"
"8","Treasure Chest Spawning/Despawning","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/8"
"9","Hidden Realm Maps - Creation/Deletion on Field","Partial: source-backed lifecycle","Room selection, duration, portal model/capacity/auto-close use server metadata. Recurring appearance interval is not established.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/9"
"12","Party - Summon","Blocked: protocol evidence","Party summon/recall remains unimplemented in compatible public references; no packet fields invented.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/12"
"16","Quest Script Condition and Functions","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/16"
"17","Club - Buff","Implemented source/protocol-backed change; client confirmation pending","Metadata-backed selection, persistence, World/Game transfer, corroborated v12 notifications, field eligibility and revocation are implemented. No arbitrary prices or unknown Club record fields added.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/17"
"22","Quests - Repeatable and Expiring Quests","Partial: active expiry verified; completed replay unresolved","Real v12 client confirms numeric minutes from acceptance, Friday UTC reset for weekly active quests, and no expiry for completed records. Server expiry preserves completion history and pending guild rewards, with atomic reacceptance and stale-save guards. Completed-quest public replay remains gated pending its separate eligibility contract.","open","2026-09-10","https://github.com/MS2Community/Maple2/issues/22"
"24","Quests - Alliance Quests","Partial: acceptance guarded; faction contracts blocked","Shared activation covers Alliance acceptance items and portals. Raw faction/mission-rank/reputation fields retained; public replays and nonzero fame-grade prerequisites fail closed pending verified reset and reputation state contracts.","open","2026-09-07","https://github.com/MS2Community/Maple2/issues/24"
"25","Premium Items in NPC Shops","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/25"
"26","Meso Market - Average","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/26"
"33","Achievement / Quest Conditions","Partial: shared trigger binding corrected","Recursive AND/OR predicates, outer actions/transitions, declared action renames, source comparison/selectors and canonical NPC/wedding operands are wired. The broader checklist is not a current completeness count.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/33"
"44","Maid - Load in Home","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/44"
"45","Maid - Crafting","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/45"
"47","Maid - Closeness system","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/47"
"48","Maid - Information customization","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/48"
"49","Maid - Conditional monologues","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/49"
"50","Maid - Payment and striking","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/50"
"51","Maid - Mood","Blocked: protocol/lifecycle evidence","Maid data tables exist, but no reliable complete v12 request/reply and lifecycle contract was found.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/51"
"65","World Map - Load areas of population","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/65"
"71","Dungeon - Reward count","Implemented source change","Account/character scoped counters, union limits and transactional old-record conversion; migration required.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/71"
"73","Dungeon - Rank and Missions","Prior fork implementation; completeness unverified","Fork commit reference exists; scope/completeness requires code and behavior reconciliation","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/73"
"74","Dungeon - Rank Rewards","Implemented source change","Weekly cumulative rank mail and item/claim transaction with retry protection; isolated persistence tests pass.","open","2026-09-06","https://github.com/MS2Community/Maple2/issues/74"
